,buildUpPlaySpeed,buildUpPlayPassing,chanceCreationPassing,chanceCreationCrossing,chanceCreationShooting,defencePressure,defenceAggression,defenceTeamWidth,country_id,league_id,stage,match_api_id,home_team_api_id,away_team_api_id,home_team_goal,away_team_goal,HS,AS,HST,AST,B365H,B365D,B365A,HomeTeamWinStreak,AwayTeamWinStreak,HomeTeamDrawStreak,AwayTeamDrawStreak,buildUpPlaySpeedClass,buildUpPlayDribblingClass,buildUpPlayPassingClass,buildUpPlayPositioningClass,chanceCreationPassingClass,chanceCreationCrossingClass,chanceCreationShootingClass,chanceCreationPositioningClass,defencePressureClass,defenceAggressionClass,defenceTeamWidthClass,defenceDefenderLineClass,FTR
285,30,29,41,55,39,64,54,52,1729,1729,13,1229229,10252,9825,0,0,10.0,13.0,8.0,6.0,4.75,3.75,1.73,1,3,1,0,2,0,2,1,0,2,2,0,2,2,1,0,1
286,59,29,32,49,62,42,44,54,1729,1729,13,1229230,8455,8456,0,0,5.0,11.0,1.0,7.0,2.5,3.5,2.7,2,2,2,1,0,1,2,1,2,2,2,1,2,2,1,0,1
287,44,64,62,65,42,51,47,52,1729,1729,14,1229239,10252,9798,1,0,15.0,11.0,7.0,6.0,1.95,3.4,4.0,1,0,2,0,0,1,1,1,0,2,2,1,2,2,1,0,2
288,60,70,70,70,50,40,35,40,1729,1729,14,1229247,8455,9879,0,0,17.0,8.0,13.0,7.0,1.44,4.5,7.0,2,1,3,1,0,0,0,1,1,1,2,1,2,2,1,0,1
289,75,40,40,45,65,50,40,45,1729,1729,14,1229249,8668,9825,1,1,14.0,12.0,10.0,9.0,2.5,3.4,2.75,3,2,1,1,1,0,1,0,0,2,2,0,2,2,1,0,1
290,47,52,54,56,60,48,52,44,1729,1729,15,1229253,8650,8466,1,0,24.0,8.0,11.0,4.0,1.4,4.5,8.5,1,0,2,0,0,0,1,1,0,2,2,1,2,2,1,0,2
291,58,62,48,59,32,41,44,59,1729,1729,15,1229254,8456,8668,1,1,9.0,8.0,6.0,5.0,1.5,4.0,7.0,5,1,0,1,0,0,1,1,0,2,0,1,2,2,1,0,1
292,46,54,49,72,56,42,41,56,1729,1729,15,1229258,9798,10260,3,4,10.0,10.0,7.0,5.0,7.5,4.75,1.4,1,2,0,1,0,1,1,1,0,1,2,1,2,2,1,0,0
293,38,44,49,44,40,54,53,56,1729,1729,16,1229267,8456,10260,2,3,16.0,8.0,11.0,3.0,2.2,3.5,3.2,4,3,1,1,0,1,1,1,0,2,2,1,2,2,1,0,0
294,70,70,70,70,70,70,60,70,1729,1729,16,1229268,8466,9798,1,0,18.0,6.0,9.0,2.0,1.91,3.6,4.0,0,0,0,0,1,0,0,1,1,1,1,1,1,2,2,0,2
