,buildUpPlaySpeed,buildUpPlayPassing,chanceCreationPassing,chanceCreationCrossing,chanceCreationShooting,defencePressure,defenceAggression,defenceTeamWidth,country_id,league_id,stage,match_api_id,home_team_api_id,away_team_api_id,home_team_goal,away_team_goal,HS,AS,HST,AST,B365H,B365D,B365A,HomeTeamWinStreak,AwayTeamWinStreak,HomeTeamDrawStreak,AwayTeamDrawStreak,buildUpPlaySpeedClass,buildUpPlayDribblingClass,buildUpPlayPassingClass,buildUpPlayPositioningClass,chanceCreationPassingClass,chanceCreationCrossingClass,chanceCreationShootingClass,chanceCreationPositioningClass,defencePressureClass,defenceAggressionClass,defenceTeamWidthClass,defenceDefenderLineClass,FTR,FTResult
68,66,72,63,48,56,39,42,52,1729,1729,3,658594,8650,10252,1,3,21.0,7.0,12.0,4.0,1.44,4.2,8.0,2,3,1,1,0,0,0,1,0,2,2,1,2,2,1,0,0,-1
69,67,36,41,34,44,39,41,46,1729,1729,3,658598,9879,8455,0,2,4.0,12.0,1.0,4.0,6.5,3.8,1.57,4,3,0,0,1,1,1,1,0,2,2,1,2,2,1,0,0,-1
70,60,65,60,70,45,40,70,40,1729,1729,3,658601,8191,8668,1,0,8.0,17.0,4.0,11.0,3.4,3.3,2.2,1,1,2,3,0,0,1,1,0,1,2,1,2,1,1,0,2,1
71,70,60,70,65,75,65,65,50,1729,1729,30,659109,8472,8456,1,1,12.0,13.0,7.0,9.0,3.6,3.4,2.1,0,1,3,1,1,0,1,1,1,2,1,0,2,2,1,0,1,0
72,48,45,38,62,54,38,38,62,1729,1729,30,659111,10260,9879,3,0,33.0,8.0,19.0,5.0,1.22,6.0,15.0,3,1,0,3,0,0,1,1,0,2,2,1,2,2,1,0,2,1
73,68,62,40,47,56,49,51,44,1729,1729,30,659112,8650,8462,4,1,23.0,7.0,12.0,3.0,1.25,5.5,13.0,2,1,1,0,1,0,1,1,0,2,2,1,2,2,1,0,2,1
74,59,29,32,49,62,42,44,54,1729,1729,31,659126,9879,8456,1,2,10.0,14.0,4.0,9.0,3.1,3.25,2.38,3,1,0,2,0,1,2,1,2,2,2,1,2,2,1,0,0,-1
75,66,45,34,34,46,51,52,61,1729,1729,31,659127,10260,8650,2,1,10.0,4.0,5.0,2.0,1.67,3.75,5.5,4,2,0,1,0,1,1,1,0,2,2,1,2,2,1,0,2,1
76,60,70,70,70,55,35,70,35,1729,1729,32,659129,8650,8472,3,0,25.0,7.0,16.0,2.0,1.3,5.25,11.0,2,0,1,2,0,0,0,1,1,1,2,1,2,1,1,0,2,1
77,65,50,45,55,50,35,45,65,1729,1729,32,659136,8455,10252,7,1,13.0,7.0,11.0,5.0,1.4,4.75,8.0,4,4,0,0,0,0,1,1,0,2,2,1,2,2,1,0,2,1
78,60,45,55,45,45,60,62,46,1729,1729,33,659142,10260,8455,1,2,9.0,11.0,3.0,5.0,2.63,3.2,2.75,4,4,0,0,0,0,1,1,0,2,2,1,2,2,1,0,0,-1
79,36,34,39,44,38,42,44,54,1729,1729,33,659145,8191,8456,1,6,14.0,20.0,7.0,14.0,5.0,3.8,1.7,2,2,1,2,0,0,1,1,0,2,2,0,2,2,1,0,0,-1
80,52,56,58,41,54,29,28,39,1729,1729,34,659154,8650,9879,0,0,18.0,2.0,9.0,2.0,1.29,5.0,13.0,3,0,0,3,0,1,1,1,0,2,2,1,0,0,1,0,1,0
81,43,40,39,33,63,52,58,59,1729,1729,34,659158,10252,8668,2,2,10.0,13.0,7.0,10.0,2.25,3.3,3.3,1,1,3,2,0,1,1,1,0,0,2,1,2,2,1,0,1,0
82,70,65,70,70,70,65,70,70,1729,1729,35,659161,8472,8191,2,1,16.0,9.0,11.0,4.0,1.62,3.75,6.0,0,0,3,0,1,0,1,1,1,1,1,1,2,1,2,0,2,1
83,65,50,45,55,50,35,45,65,1729,1729,35,659163,8462,10252,1,2,16.0,12.0,12.0,9.0,5.5,3.75,1.67,2,3,1,0,0,0,1,1,0,2,2,1,2,2,1,0,0,-1
84,46,54,46,60,55,40,50,56,1729,1729,35,659168,8456,10260,0,1,8.0,13.0,5.0,3.0,2.88,3.5,2.4,3,1,1,1,0,0,1,1,0,2,2,1,2,2,1,0,0,-1
85,52,49,49,56,59,39,39,57,1729,1729,36,659169,8668,9879,2,1,15.0,8.0,9.0,6.0,1.36,4.5,10.0,5,0,0,3,0,0,1,1,0,2,2,1,2,2,1,0,2,1
86,71,32,34,41,61,51,48,62,1729,1729,36,659175,8191,8650,0,4,12.0,12.0,6.0,10.0,5.5,4.0,1.62,2,1,0,1,1,1,2,1,0,2,2,1,2,2,1,0,0,-1
87,59,29,38,36,24,48,47,54,1729,1729,36,659178,9825,8456,0,0,9.0,3.0,4.0,2.0,2.0,3.5,3.75,4,3,0,1,0,1,2,0,0,2,0,0,2,2,1,0,1,0
88,70,45,45,70,65,40,50,40,1729,1729,37,659181,8472,10260,0,1,10.0,14.0,2.0,9.0,9.5,4.75,1.36,1,2,3,1,1,0,1,1,0,1,2,0,2,2,1,0,0,-1
89,65,50,45,55,50,35,45,65,1729,1729,37,659184,8456,10252,3,1,17.0,10.0,12.0,6.0,1.83,3.6,4.33,2,3,1,0,0,0,1,1,0,2,2,1,2,2,1,0,2,1
90,60,45,55,45,45,60,62,46,1729,1729,37,659368,8650,8455,0,2,7.0,15.0,2.0,11.0,4.0,3.8,1.83,3,4,1,0,0,0,1,1,0,2,2,1,2,2,1,0,0,-1
91,68,62,40,47,56,49,51,44,1729,1729,38,659370,8668,8462,1,0,21.0,10.0,13.0,4.0,1.29,5.5,11.0,5,1,0,0,1,0,1,1,0,2,2,1,2,2,1,0,2,1
92,52,56,58,41,54,29,28,39,1729,1729,38,659375,9825,9879,4,0,16.0,5.0,11.0,2.0,1.2,7.0,13.0,4,0,1,2,0,1,1,1,0,2,2,1,0,0,1,0,2,1
