,buildUpPlaySpeed,buildUpPlayPassing,chanceCreationPassing,chanceCreationCrossing,chanceCreationShooting,defencePressure,defenceAggression,defenceTeamWidth,country_id,league_id,stage,match_api_id,home_team_api_id,away_team_api_id,HomeTeamWinStreak,AwayTeamWinStreak,HomeTeamDrawStreak,AwayTeamDrawStreak,date,buildUpPlaySpeedClass,buildUpPlayDribblingClass,buildUpPlayPassingClass,buildUpPlayPositioningClass,chanceCreationPassingClass,chanceCreationCrossingClass,chanceCreationShootingClass,chanceCreationPositioningClass,defencePressureClass,defenceAggressionClass,defenceTeamWidthClass,defenceDefenderLineClass,HomeTeam,AwayTeam,FTR,id,country_id,league_id,season,stage,match_api_id,home_team_api_id,away_team_api_id,home_player_1,home_player_2,home_player_3,home_player_4,home_player_5,home_player_6,home_player_7,home_player_8,home_player_9,home_player_10,home_player_11,away_player_1,away_player_2,away_player_3,away_player_4,away_player_5,away_player_6,away_player_7,away_player_8,away_player_9,away_player_10,away_player_11,Date,HomeTeam,AwayTeam,FTR,HS,AS,HST,AST,B365H,B365D,B365A,HomeTeamWinStreak,AwayTeamWinStreak,HomeTeamDrawStreak,AwayTeamDrawStreak
481,52,47,69,66,47,36,33,53,1729,1729,6,1474214,8466,9826,1,1,2,2,3,0,0,1,1,1,2,2,1,2,0,1,0,13,5,2,3974,1729,1729,2013/2014,6,1474214,8466,9826,30974.0,157838.0,26552.0,114268.0,362694.0,37234.0,46893.0,166676.0,23792.0,40165.0,39225.0,22998.0,146830.0,23358.0,24744.0,32087.0,112035.0,8985.0,161415.0,33421.0,25537.0,363340.0,2013-09-20,southampton,crystalpalace,H,12.0,8.0,3.0,0.0,1.45,4.5,8.5,1,1,2,2
474,67,36,41,34,44,39,41,46,1729,1729,4,1474175,8668,8455,3,3,0,0,5,1,1,1,1,0,2,2,1,2,2,1,0,6,4,2,3950,1729,1729,2013/2014,4,1474175,8668,8455,31465.0,77690.0,23268.0,24216.0,24846.0,24006.0,23782.0,32705.0,215384.0,26151.0,8922.0,30859.0,31306.0,52133.0,30627.0,38834.0,32345.0,79574.0,178812.0,41468.0,107417.0,33639.0,2015-09-10,everton,chelsea,H,11.0,22.0,5.0,5.0,3.4,3.3,2.35,3,3,0,0
313,70,60,70,65,75,65,65,50,1729,1729,22,1229329,9825,8456,2,1,3,3,1,1,0,1,1,1,2,1,0,2,2,1,0,0,9,0,3389,1729,1729,2012/2013,22,1229329,9825,8456,169718.0,26111.0,26005.0,46539.0,78513.0,27277.0,143793.0,196386.0,37436.0,32118.0,31013.0,31432.0,30509.0,39027.0,213485.0,31291.0,41467.0,23782.0,38807.0,38817.0,37459.0,15403.0,2011-02-22,arsenal,manchestercity,A,9.0,16.0,4.0,9.0,2.63,3.5,2.8,2,1,3,3
204,65,50,45,55,50,35,45,65,1729,1729,10,1024695,8472,10252,1,1,2,3,1,0,0,1,1,0,2,2,1,2,2,1,0,14,1,1,2884,1729,1729,2011/2012,10,1024695,8472,10252,37868.0,24150.0,34275.0,30362.0,30352.0,35443.0,40563.0,160243.0,33468.0,36410.0,169721.0,24224.0,32870.0,24751.0,24211.0,24136.0,29581.0,38609.0,110947.0,23264.0,34466.0,23949.0,2011-02-22,sunderland,astonvilla,D,13.0,10.0,8.0,5.0,2.1,3.3,3.6,1,1,2,3
520,52,46,42,54,30,50,65,44,1729,1729,18,1724155,9826,8466,1,0,0,2,5,0,0,1,1,0,2,0,1,2,2,1,0,5,13,0,4102,1729,1729,2014/2015,18,1724155,9826,8466,22998.0,23358.0,23837.0,23030.0,146830.0,28901.0,8985.0,22929.0,35345.0,24157.0,160194.0,95336.0,157838.0,72665.0,215245.0,46010.0,23792.0,160599.0,46893.0,279490.0,41280.0,303339.0,2015-09-10,crystalpalace,southampton,A,11.0,13.0,4.0,6.0,3.75,3.4,2.15,1,0,0,2
263,46,41,46,61,63,42,43,46,1729,1729,5,1024452,10260,8455,4,2,1,2,3,0,0,1,1,0,2,2,1,2,2,1,0,10,4,2,3204,1729,1729,2011/2012,5,1024452,10260,8455,182917.0,165823.0,43248.0,186137.0,32569.0,40945.0,24148.0,40961.0,23354.0,30829.0,70409.0,30859.0,25925.0,31306.0,30627.0,38834.0,79574.0,25923.0,30631.0,51553.0,30853.0,41468.0,2013-09-20,manchesterunited,chelsea,H,12.0,20.0,7.0,9.0,1.83,3.5,4.5,4,2,1,2
208,52,48,39,54,59,29,30,39,1729,1729,13,1024830,9825,9879,2,1,2,2,5,0,1,1,1,0,2,2,1,0,0,1,0,0,7,1,2909,1729,1729,2011/2012,13,1024830,9825,9879,169718.0,30986.0,35606.0,26005.0,78541.0,23678.0,24011.0,31013.0,75489.0,3520.0,30843.0,30633.0,43247.0,30890.0,26777.0,24130.0,38229.0,30338.0,25253.0,30956.0,24741.0,41008.0,2015-09-10,arsenal,fulham,D,20.0,10.0,12.0,6.0,1.44,4.2,8.0,2,1,2,2
339,46,54,49,72,56,42,41,56,1729,1729,3,1228305,8466,10260,2,4,2,0,4,0,1,1,1,0,1,2,1,2,2,1,0,13,10,0,3473,1729,1729,2012/2013,3,1228305,8466,10260,35496.0,157838.0,26552.0,45418.0,23823.0,279490.0,46893.0,23792.0,35345.0,39225.0,37234.0,26818.0,38994.0,30865.0,30620.0,32569.0,34944.0,144993.0,160713.0,35327.0,30843.0,113836.0,2014-09-19,southampton,manchesterunited,A,15.0,18.0,8.0,9.0,6.0,4.2,1.53,2,4,2,0
417,63,54,60,48,38,35,44,54,1729,1729,20,1474709,8472,10252,1,2,2,0,5,0,1,1,1,0,2,2,1,2,2,1,0,14,1,0,3756,1729,1729,2013/2014,20,1474709,8472,10252,37233.0,128209.0,39331.0,150833.0,36786.0,160243.0,25150.0,144996.0,167634.0,32627.0,242308.0,69650.0,183715.0,30602.0,139673.0,202553.0,182223.0,78324.0,184360.0,183500.0,148315.0,23264.0,2015-09-10,sunderland,astonvilla,A,17.0,13.0,1.0,5.0,2.15,3.4,3.75,1,2,2,0
488,61,42,39,59,48,52,58,60,1729,1729,9,1474288,10252,8668,2,2,1,0,4,0,1,1,1,0,2,2,1,2,2,1,0,1,6,0,3999,1729,1729,2013/2014,9,1474288,10252,8668,69650.0,183500.0,30602.0,139673.0,202553.0,184360.0,182223.0,78324.0,156534.0,148315.0,23264.0,31465.0,77690.0,23268.0,24216.0,24846.0,101192.0,23782.0,26151.0,215384.0,36012.0,181276.0,2014-09-19,astonvilla,everton,A,14.0,15.0,3.0,4.0,3.4,3.4,2.3,2,2,1,0
