,HomeTeam,AwayTeam
351,svzulte-waregem,kvmechelen
352,kaagent,standarddeliege
353,kvkortrijk,krcgenk
354,kvcwesterlo,sportinglokeren
355,clubbruggekv,sportingcharleroi
356,rscanderlecht,kvkortrijk
357,sint-truidensevv,standarddeliege
358,svzulte-waregem,sportinglokeren
359,kaagent,ksvcerclebrugge
360,kvcwesterlo,kvmechelen
361,beerschotac,ksvroeselare
362,standarddeliege,beerschotac
363,krcgenk,kvcwesterlo
364,sportingcharleroi,sint-truidensevv
365,ksvcerclebrugge,rscanderlecht
366,sportinglokeren,clubbruggekv
367,kvkortrijk,svzulte-waregem
368,kvmechelen,kaagent
369,clubbruggekv,kvmechelen
370,standarddeliege,ksvroeselare
371,sint-truidensevv,kvkortrijk
372,svzulte-waregem,ksvcerclebrugge
373,kaagent,krcgenk
374,kvcwesterlo,rscanderlecht
375,beerschotac,sportingcharleroi
376,rscanderlecht,clubbruggekv
377,krcgenk,svzulte-waregem
378,sportingcharleroi,standarddeliege
379,sportinglokeren,kaagent
380,kvkortrijk,kvcwesterlo
381,kvmechelen,beerschotac
382,ksvroeselare,sint-truidensevv
383,clubbruggekv,sportinglokeren
384,rscanderlecht,ksvcerclebrugge
385,sint-truidensevv,sportingcharleroi
386,svzulte-waregem,krcgenk
387,kaagent,kvmechelen
388,kvcwesterlo,kvkortrijk
389,beerschotac,standarddeliege
390,clubbruggekv,ksvcerclebrugge
391,standarddeliege,sportinglokeren
392,sint-truidensevv,kvmechelen
393,svzulte-waregem,kvcwesterlo
394,sportingcharleroi,ksvroeselare
395,kaagent,rscanderlecht
396,beerschotac,krcgenk
397,rscanderlecht,svzulte-waregem
398,krcgenk,sint-truidensevv
399,ksvcerclebrugge,standarddeliege
400,sportinglokeren,beerschotac
401,kvkortrijk,clubbruggekv
402,kvmechelen,sportingcharleroi
403,ksvroeselare,kaagent
404,clubbruggekv,kvcwesterlo
405,standarddeliege,rscanderlecht
406,sint-truidensevv,sportinglokeren
407,sportingcharleroi,krcgenk
408,kaagent,kvkortrijk
409,ksvroeselare,kvmechelen
410,beerschotac,ksvcerclebrugge
411,krcgenk,clubbruggekv
412,svzulte-waregem,sint-truidensevv
413,ksvcerclebrugge,sportingcharleroi
414,sportinglokeren,ksvroeselare
415,kvkortrijk,beerschotac
416,kvmechelen,standarddeliege
417,kvcwesterlo,kaagent
418,standarddeliege,kvkortrijk
419,sint-truidensevv,kvcwesterlo
420,sportingcharleroi,sportinglokeren
421,kaagent,svzulte-waregem
422,kvmechelen,ksvcerclebrugge
423,ksvroeselare,krcgenk
424,beerschotac,rscanderlecht
425,rscanderlecht,sint-truidensevv
426,krcgenk,standarddeliege
427,svzulte-waregem,clubbruggekv
428,ksvcerclebrugge,ksvroeselare
429,sportinglokeren,kvmechelen
430,kvkortrijk,sportingcharleroi
431,kvcwesterlo,beerschotac
432,standarddeliege,kvcwesterlo
433,sportingcharleroi,rscanderlecht
434,ksvcerclebrugge,sportinglokeren
435,kaagent,clubbruggekv
436,kvmechelen,krcgenk
437,ksvroeselare,kvkortrijk
438,beerschotac,svzulte-waregem
439,clubbruggekv,standarddeliege
440,rscanderlecht,kvmechelen
441,krcgenk,sportinglokeren
442,svzulte-waregem,ksvroeselare
443,kaagent,sint-truidensevv
444,kvkortrijk,ksvcerclebrugge
445,kvcwesterlo,sportingcharleroi
446,sint-truidensevv,clubbruggekv
447,sportingcharleroi,svzulte-waregem
448,ksvcerclebrugge,krcgenk
449,sportinglokeren,kvcwesterlo
450,kvmechelen,kvkortrijk
451,ksvroeselare,rscanderlecht
452,beerschotac,kaagent
453,clubbruggekv,ksvroeselare
454,rscanderlecht,krcgenk
455,sint-truidensevv,beerschotac
456,svzulte-waregem,standarddeliege
457,kaagent,sportingcharleroi
458,kvkortrijk,sportinglokeren
459,kvcwesterlo,ksvcerclebrugge
460,rscanderlecht,kvcwesterlo
461,krcgenk,kaagent
462,sportingcharleroi,beerschotac
463,ksvcerclebrugge,svzulte-waregem
464,sportinglokeren,sint-truidensevv
465,kvmechelen,clubbruggekv
466,ksvroeselare,standarddeliege
467,standarddeliege,kaagent
468,krcgenk,kvkortrijk
469,ksvcerclebrugge,sint-truidensevv
