,buildUpPlaySpeed,buildUpPlayPassing,chanceCreationPassing,chanceCreationCrossing,chanceCreationShooting,defencePressure,defenceAggression,defenceTeamWidth,date,buildUpPlaySpeedClass,buildUpPlayDribblingClass,buildUpPlayPassingClass,buildUpPlayPositioningClass,chanceCreationPassingClass,chanceCreationCrossingClass,chanceCreationShootingClass,chanceCreationPositioningClass,defencePressureClass,defenceAggressionClass,defenceTeamWidthClass,defenceDefenderLineClass,home_team_goal,away_team_goal
361,0,-3,0,7,-26,7,6,10,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,1
362,-1,34,22,-13,-12,0,1,6,0,-1,-1,-1,0,0,0,1,0,0,0,0,0,1,2
363,-14,3,5,20,13,-22,-22,-22,0,0,0,0,0,0,0,0,0,-2,-2,0,0,1,3
364,4,-6,6,20,8,-1,-9,-9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
365,13,21,14,-12,7,-21,-26,9,0,0,-1,0,0,0,0,0,1,0,0,0,0,1,1
366,24,-4,2,1,-19,-13,-17,-13,0,1,0,0,0,0,2,0,0,0,0,0,0,2,1
367,-22,-20,-13,-22,-30,9,5,8,0,2,0,1,0,0,0,-2,-1,0,0,0,0,6,1
368,18,22,14,-3,18,-12,0,-12,0,0,0,0,0,0,-2,-1,0,0,0,0,0,1,1
369,25,-22,-15,-31,5,9,7,6,0,1,0,1,0,0,1,0,0,0,0,0,0,1,2
370,0,-1,10,-8,-22,-3,3,2,0,0,0,0,-1,-2,0,-2,0,0,0,0,0,1,1
371,0,-4,5,0,15,40,0,40,0,0,0,0,0,1,0,0,1,1,0,2,0,4,1
372,15,-10,-20,-15,-15,15,-15,-5,0,1,0,0,0,0,0,1,0,0,0,0,0,1,2
373,9,4,-6,1,-4,2,-2,16,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1
374,16,15,10,12,21,-3,-5,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2
375,-1,-32,-24,5,4,1,6,1,0,0,1,1,0,2,0,0,0,0,0,0,0,3,0
376,0,-2,3,0,-29,21,35,5,0,0,-1,0,0,0,0,-2,0,2,2,0,0,2,2
377,-10,11,5,0,0,10,-35,10,0,-1,0,-1,0,1,0,0,1,2,1,1,0,1,0
378,11,14,-17,-28,5,6,24,-17,0,0,0,0,0,0,1,0,0,0,2,-1,0,1,0
379,14,-9,9,-15,-10,20,12,-10,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3
380,19,18,6,25,-22,-18,-8,-2,0,0,0,0,0,0,0,-2,0,0,0,0,0,2,2
381,-8,16,13,-2,-17,29,24,13,0,0,-1,-1,0,1,0,0,0,2,2,0,0,3,3
382,-4,-24,-32,-4,8,16,0,-2,0,0,0,1,0,2,0,0,-1,0,0,0,0,1,3
383,0,0,0,0,5,-5,35,-5,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,1
384,15,-10,0,0,5,-5,-15,-5,0,1,0,0,-1,0,0,0,-1,0,0,0,0,2,0
385,2,-9,-8,2,-1,-2,-12,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
386,-6,-15,21,7,15,-5,-11,-6,0,0,0,0,0,1,0,2,0,0,-2,0,0,0,0
387,19,-24,-24,0,7,22,20,23,0,1,0,1,0,0,0,0,0,2,2,0,0,4,0
388,-21,14,21,0,-6,3,9,4,0,0,0,-1,0,-2,0,0,1,0,0,0,0,1,0
389,-10,10,15,0,-15,-10,15,-10,0,-1,0,-1,0,1,0,1,0,0,-1,0,0,1,0
390,23,3,-8,-4,18,7,-3,-3,0,1,0,0,-1,0,0,0,-1,0,0,0,0,2,0
391,-4,-4,0,-16,3,0,2,-2,0,0,0,0,0,0,1,0,0,0,0,0,0,3,3
392,6,-7,-4,24,-38,-8,-11,5,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0
393,20,-2,-1,5,17,-23,-23,2,0,1,0,0,0,0,0,-1,1,0,0,0,0,3,1
394,10,-20,-15,0,20,0,-20,0,0,1,0,0,0,0,0,0,-1,0,1,0,0,0,1
395,-13,-13,3,-6,-3,8,-2,-17,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3
396,7,17,-11,27,14,-13,-9,14,0,1,0,0,0,0,-1,0,0,0,0,0,0,3,4
397,-28,-33,-7,-4,7,23,10,-7,0,2,0,1,0,0,0,2,-1,0,0,0,0,1,1
